Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region II,Isabela,103785,ISABELA,Monograde,0.11
ES,Region II,Isabela,103786,ISABELA,Monograde,0.1
ES,Region II,Isabela,103787,ISABELA,Monograde,0.08
ES,Region II,Isabela,103788,ISABELA,Monograde,0.09
ES,Region II,Isabela,103789,ISABELA,Monograde,0.11
ES,Region II,Isabela,103790,ISABELA,Monograde,0.11
ES,Region II,Isabela,103791,ISABELA,Monograde,0.12
ES,Region II,Isabela,103792,ISABELA,Monograde,0.09
ES,Region II,Isabela,103793,ISABELA,Monograde,0.1
ES,Region II,Isabela,103794,ISABELA,Monograde,0.09
ES,Region II,Isabela,103795,ISABELA,Monograde,0.1
ES,Region II,Isabela,103796,ISABELA,Monograde,0.17
ES,Region II,Isabela,103797,ISABELA,Monograde,0.12
ES,Region II,Isabela,103798,ISABELA,Monograde,0.15
ES,Region II,Isabela,103799,ISABELA,Monograde,0.11
ES,Region II,Isabela,103800,ISABELA,Combined Monograde and Multigrade,0.2
ES,Region II,Isabela,103801,ISABELA,Monograde,0.09
ES,Region II,Isabela,103802,ISABELA,Combined Monograde and Multigrade,0.15
ES,Region II,Isabela,103803,ISABELA,Monograde,0.15
ES,Region II,Isabela,103804,ISABELA,Monograde,0.35
ES,Region II,Isabela,103805,ISABELA,Monograde,0.1
ES,Region II,Isabela,103806,ISABELA,Monograde,0.12
ES,Region II,Isabela,103807,ISABELA,Monograde,0.11
ES,Region II,Isabela,103808,ISABELA,Monograde,0.17
ES,Region II,Isabela,103809,ISABELA,Monograde,0.13
ES,Region II,Isabela,103810,ISABELA,Monograde,0.12
ES,Region II,Santiago City,103811,ISABELA,Monograde,0.03
ES,Region II,Santiago City,103812,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103813,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103814,ISABELA,Monograde,0.06
ES,Region II,Santiago City,103815,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103816,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103817,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103818,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103819,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103821,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103822,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103823,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103824,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103825,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103826,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103827,ISABELA,Monograde,0.03
ES,Region II,Santiago City,103828,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103829,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103830,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103832,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103833,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103835,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103836,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103837,ISABELA,Monograde,0.03
ES,Region II,Santiago City,103838,ISABELA,Monograde,0.03
ES,Region II,Santiago City,103839,ISABELA,Monograde,0.05
ES,Region II,Santiago City,103840,ISABELA,Monograde,0.04
ES,Region II,Santiago City,103841,ISABELA,Monograde,0.06
ES,Region II,Santiago City,103842,ISABELA,Monograde,0.03
ES,Region II,Isabela,103843,ISABELA,Monograde,0.14
ES,Region II,Isabela,103844,ISABELA,Monograde,0.15
ES,Region II,Isabela,103845,ISABELA,Monograde,0.16
ES,Region II,Isabela,103846,ISABELA,Combined Monograde and Multigrade,0.16
ES,Region II,Isabela,103847,ISABELA,Monograde,0.14
ES,Region II,Isabela,103848,ISABELA,Monograde,0.18
ES,Region II,Isabela,103849,ISABELA,Monograde,0.16
ES,Region II,Isabela,103850,ISABELA,Monograde,0.09
ES,Region II,Isabela,103851,ISABELA,Monograde,0.14
ES,Region II,Isabela,103852,ISABELA,Monograde,0.15
ES,Region II,Isabela,103853,ISABELA,Monograde,0.13
ES,Region II,Isabela,103854,ISABELA,Monograde,0.14
ES,Region II,Isabela,103855,ISABELA,Combined Monograde and Multigrade,0.18
ES,Region II,Isabela,103856,ISABELA,Monograde,0.14
ES,Region II,Isabela,103857,ISABELA,Monograde,0.16
ES,Region II,Isabela,103858,ISABELA,Combined Monograde and Multigrade,0.16
ES,Region II,Isabela,103859,ISABELA,Monograde,0.12
ES,Region II,Isabela,103860,ISABELA,Monograde,0.14
ES,Region II,Isabela,103861,ISABELA,Monograde,0.14
ES,Region II,Isabela,103862,ISABELA,Monograde,0.13
ES,Region II,Isabela,103864,ISABELA,Monograde,0.19
ES,Region II,Isabela,103865,ISABELA,Monograde,0.13
ES,Region II,Isabela,103866,ISABELA,Monograde,0.11
ES,Region II,Isabela,103867,ISABELA,Multigrade,0.16
ES,Region II,Isabela,103868,ISABELA,Monograde,0.16
ES,Region II,Isabela,103869,ISABELA,Monograde,0.11
ES,Region II,Isabela,103871,ISABELA,Monograde,0.1
ES,Region II,Isabela,103872,ISABELA,Monograde,0.16
ES,Region II,Isabela,103873,ISABELA,Monograde,0.1
ES,Region II,Isabela,103875,ISABELA,Monograde,0.15
ES,Region II,Isabela,103876,ISABELA,Monograde,0.1
ES,Region II,Isabela,103877,ISABELA,Monograde,0.09
ES,Region II,Isabela,103878,ISABELA,Monograde,0.07
ES,Region II,Isabela,103879,ISABELA,Monograde,0.09
ES,Region II,Isabela,103880,ISABELA,Monograde,0.08
ES,Region II,Isabela,103881,ISABELA,Monograde,0.09
ES,Region II,Isabela,103882,ISABELA,Monograde,0.08
ES,Region II,Isabela,103883,ISABELA,Combined Monograde and Multigrade,0.08
ES,Region II,Isabela,103884,ISABELA,Monograde,0.12
ES,Region II,Isabela,103885,ISABELA,Monograde,0.08
ES,Region II,Isabela,103886,ISABELA,Monograde,0.1
ES,Region II,Isabela,103887,ISABELA,Monograde,0.12
ES,Region II,Isabela,103888,ISABELA,Monograde,0.09
ES,Region II,Isabela,103889,ISABELA,Monograde,0.16
ES,Region II,Isabela,103890,ISABELA,Monograde,0.07
ES,Region II,Isabela,103891,ISABELA,Monograde,0.07
ES,Region II,Isabela,103893,ISABELA,Monograde,0.11
ES,Region II,Isabela,103894,ISABELA,Monograde,0.31
ES,Region II,Isabela,103895,ISABELA,Monograde,0.08
ES,Region II,Isabela,103896,ISABELA,Monograde,0.07
ES,Region II,Isabela,103898,ISABELA,Monograde,0.07
ES,Region II,Isabela,103899,ISABELA,Monograde,0.08
